Brand,Variety,Style,Country,Stars
254,1886,5,18,high
318,1834,5,32,high
312,375,5,0,low
178,1208,5,30,low
195,1345,5,30,high
343,2013,5,5,high
158,1844,5,35,medium
192,1450,4,18,medium
195,226,1,35,high
192,463,4,35,medium
293,2348,1,32,medium
254,1316,1,18,low
159,1343,5,19,high
195,207,1,35,medium
192,506,4,20,medium
192,614,1,14,high
287,2235,1,18,medium
161,1130,1,18,medium
183,1020,1,18,medium
195,1850,5,30,medium
326,122,4,34,low
181,1558,2,18,high
7,652,4,18,high
206,1723,5,20,medium
195,2086,4,30,medium
107,1250,6,35,medium
192,233,1,35,low
74,2160,5,14,high
16,1799,5,22,medium
49,799,6,18,high
6,1273,4,17,medium
166,2010,5,35,low
184,1694,5,18,high
318,12,5,32,high
195,1394,5,30,medium
181,1572,5,19,high
134,1184,5,29,high
192,587,1,14,medium
309,1329,5,18,high
195,1768,5,36,medium
249,1925,4,30,medium
192,448,4,14,high
329,1622,5,27,medium
30,1318,5,17,low
192,1681,1,35,low
152,758,5,32,medium
336,709,5,32,low
178,1851,5,30,medium
192,497,4,33,medium
192,606,5,14,medium
249,1108,5,30,high
243,334,5,35,medium
33,1873,4,5,medium
32,920,5,16,low
318,1324,5,32,very_low
125,964,5,31,medium
5,2334,5,19,very_low
192,1991,5,20,medium
343,2012,5,5,medium
195,789,5,30,high
160,861,5,18,medium
202,2034,5,37,medium
248,141,1,30,medium
329,2294,5,37,medium
195,218,1,35,medium
55,91,5,5,medium
147,963,4,33,high
192,2300,1,18,high
192,498,4,14,high
277,2256,1,33,medium
4,1404,5,32,medium
206,2037,1,30,high
155,22,5,16,high
160,1916,1,18,high
206,253,5,30,very_low
183,856,5,18,high
153,1546,5,26,low
192,238,1,35,low
192,635,4,33,medium
156,2333,5,17,medium
157,937,5,33,medium
160,2388,6,35,low
154,1731,5,21,low
160,204,1,35,high
192,2274,5,35,medium
4,371,6,32,low
192,378,6,35,high
4,1674,5,32,high
