Brand,Variety,Style,Country,Stars
151,1031,5,35,0
192,519,4,29,1
233,809,5,18,0
121,322,4,34,1
289,2129,5,18,1
155,1219,5,16,0
192,1115,4,18,0
336,708,5,32,0
192,477,4,16,0
114,1969,5,19,0
191,2035,6,37,1
192,621,5,14,1
85,2228,4,34,1
192,2398,1,18,1
157,350,5,21,0
155,24,5,16,0
192,440,4,18,1
177,2324,5,4,0
120,1952,1,29,1
327,1173,5,32,0
56,2030,4,35,1
70,313,1,5,0
298,133,5,35,0
157,961,5,33,1
157,988,5,33,1
333,1125,1,30,1
15,979,5,15,0
342,2107,5,32,0
7,405,1,18,1
195,1633,5,5,1
254,143,5,35,1
157,878,4,33,1
192,475,4,33,1
98,1094,5,30,1
163,2252,1,33,0
324,740,5,13,0
296,993,5,11,0
195,645,6,30,1
88,154,4,4,0
84,1138,1,5,0
254,308,4,35,0
192,1544,6,35,0
262,695,5,35,0
214,902,5,26,1
216,1458,5,10,0
157,972,5,33,1
192,578,4,14,1
332,1325,5,33,0
350,951,5,33,0
57,929,5,19,1
346,1322,5,35,1
309,1327,5,18,0
254,1931,5,18,0
177,240,1,4,0
295,681,4,34,0
160,2219,5,18,1
183,1047,5,35,1
227,697,5,30,0
74,2164,5,14,0
129,1153,5,18,1
13,1413,6,35,0
161,1177,1,18,1
249,1201,5,30,0
208,1067,5,30,1
320,269,5,32,0
250,2375,1,18,1
201,843,1,30,0
134,1496,5,29,0
20,2057,5,5,0
298,2102,1,35,0
330,561,5,37,1
154,881,5,33,1
181,1233,5,19,1
336,2359,5,32,0
282,1860,5,17,1
206,160,4,30,1
183,2307,5,18,1
254,844,5,35,0
331,2214,5,19,1
116,2079,5,5,1
183,395,5,18,0
162,1306,5,5,1
332,1668,4,33,0
195,278,1,35,1
65,2402,1,33,0
116,77,1,5,0
277,2257,1,33,0
192,467,4,29,0
174,1877,5,32,1
192,376,6,35,0
192,365,6,35,0
195,60,5,35,0
183,329,5,29,0
208,2020,5,30,0
323,2369,5,37,0
20,1829,5,5,1
192,1238,1,18,1
160,2377,6,35,1
240,1157,1,37,0
319,1212,1,32,1
192,446,4,14,0
192,1737,5,35,1
116,99,5,5,0
351,926,5,12,0
11,772,5,32,1
245,40,5,18,0
114,1970,5,19,1
297,959,4,33,1
322,922,5,5,1
55,91,1,5,0
253,1421,1,14,0
208,729,4,30,1
192,593,4,14,0
222,1266,5,17,1
195,210,1,35,0
153,2177,1,26,0
177,1100,1,4,0
319,2320,5,5,0
73,820,5,18,0
192,1650,5,29,1
181,1583,1,19,1
74,2161,5,14,1
123,1424,5,5,0
330,745,5,37,0
192,1314,5,14,1
98,918,5,30,1
132,953,5,34,0
23,2143,5,34,0
8,1240,5,19,1
192,509,4,20,1
265,925,4,0,0
192,433,4,18,1
128,2342,1,33,0
159,1015,5,19,0
155,25,5,29,0
192,540,4,18,0
219,1530,4,34,0
231,1775,6,30,0
288,785,5,18,1
22,1523,5,33,0
330,1473,1,37,0
208,1875,5,30,0
154,933,5,21,0
329,1365,5,37,0
163,65,1,33,0
203,1042,1,35,0
329,848,5,37,0
110,2210,5,17,0
5,677,5,19,1
131,1666,5,14,0
320,99,5,32,0
160,1698,5,35,0
160,141,4,35,0
248,1084,5,30,0
335,2263,5,32,1
165,556,1,18,1
108,58,5,19,0
193,148,4,4,0
331,2212,5,19,1
327,1158,1,32,0
112,2394,1,18,1
249,696,5,30,1
120,413,4,29,1
52,2056,5,14,0
249,132,5,30,0
329,549,4,37,0
195,209,1,35,0
283,1129,1,30,0
181,1232,5,19,1
43,1299,5,19,0
206,1725,5,20,1
7,2053,4,18,1
296,992,5,11,0
324,744,5,13,0
192,374,6,35,1
9,1557,5,19,1
192,345,5,33,1
110,1364,5,17,1
345,822,1,5,1
31,828,5,19,1
192,1453,5,14,1
11,2230,5,32,1
131,1665,5,14,0
35,1793,5,14,0
195,211,5,35,0
22,1513,5,11,0
52,1936,5,14,1
241,140,5,34,0
195,1906,4,30,1
195,2302,1,30,1
332,89,5,33,0
13,1415,6,35,0
134,2063,5,29,1
160,2389,6,35,0
192,2273,5,35,0
265,950,4,0,1
74,2162,5,14,1
346,1914,5,35,1
157,1509,5,33,0
18,339,4,4,0
168,1265,5,17,1
13,1690,5,35,1
318,1481,4,32,0
195,1907,4,30,0
192,604,5,11,0
155,19,5,16,0
157,2337,5,33,1
76,733,5,30,1
249,1070,1,30,1
136,1351,5,35,0
183,1644,5,29,1
157,71,5,33,0
110,1999,5,17,0
243,333,5,35,1
208,2353,5,30,0
208,755,5,30,0
195,2291,5,30,1
160,2392,6,35,0
311,2329,4,35,0
60,357,5,19,0
289,800,5,18,1
192,1804,5,6,0
192,435,4,18,1
162,1357,1,5,1
346,2237,5,35,1
256,1465,5,14,1
206,1637,5,30,0
192,496,4,5,1
118,192,5,32,1
192,336,5,18,1
134,2084,5,29,1
192,675,4,18,1
192,717,5,17,1
282,1752,5,17,1
183,2355,1,18,1
94,1565,1,19,0
192,175,4,35,1
249,260,5,30,1
206,1059,4,30,0
183,399,5,18,0
192,637,4,33,0
124,93,5,5,0
192,429,4,18,1
110,1625,4,17,0
162,69,5,5,1
192,452,4,35,1
192,466,4,18,0
227,401,5,30,0
327,1169,1,32,1
157,879,4,33,1
280,1842,4,19,0
301,1580,5,19,1
159,297,5,19,1
192,1843,4,14,1
327,840,1,32,0
330,737,5,37,0
192,731,1,18,1
240,1160,1,37,0
327,74,1,32,0
337,1,5,32,0
